Date,IMAmix35,IMAmix60,IMAmix85,IMAflex
22-Aug-13,0.000,0.030,0.081,0.069
21-Aug-13,-0.098,-0.211,-0.162,-0.159
20-Aug-13,-0.167,-0.249,-0.418,-0.379
19-Aug-13,-0.145,-0.221,-0.077,-0.187
16-Aug-13,-0.348,-0.511,-0.728,-0.786
15-Aug-13,-0.353,-0.267,-0.643,-0.284
14-Aug-13,-0.087,0.042,0.087,0.096
13-Aug-13,0.094,0.130,0.253,0.280
12-Aug-13,0.073,0.113,0.119,0.152
09-Aug-13,0.043,0.050,0.077,0.050
08-Aug-13,-0.089,-0.251,-0.268,-0.207
07-Aug-13,-0.314,-0.335,-0.570,-0.544
06-Aug-13,-0.103,-0.118,-0.193,-0.174
05-Aug-13,0.000,0.033,-0.075,0.000
02-Aug-13,0.091,0.290,0.519,0.542
01-Aug-13,0.189,0.245,0.383,0.361
31-Jul-13,0.177,0.185,0.322,0.313
30-Jul-13,0.082,0.037,0.050,0.000
29-Jul-13,0.000,-0.025,-0.096,-0.151
26-Jul-13,-0.089,-0.197,-0.142,-0.245
25-Jul-13,-0.203,-0.169,-0.351,-0.175
24-Jul-13,0.008,0.087,0.129,0.138
23-Jul-13,0.026,0.059,0.095,0.091
22-Jul-13,0.008,0.009,-0.026,-0.054
19-Jul-13,0.072,0.170,0.166,0.080
18-Jul-13,0.266,0.073,0.249,0.087
17-Jul-13,-0.162,-0.166,-0.309,-0.243
16-Jul-13,0.087,0.084,0.078,0.070
15-Jul-13,0.115,0.203,0.223,0.293
12-Jul-13,0.280,0.355,0.473,0.383
11-Jul-13,0.178,0.101,0.194,0.069
10-Jul-13,0.138,0.207,0.073,0.072
09-Jul-13,0.282,0.337,0.612,0.477
08-Jul-13,0.172,0.377,0.276,0.269
05-Jul-13,0.632,0.742,1.325,1.106
04-Jul-13,0.097,-0.019,0.395,0.155
03-Jul-13,-0.181,-0.116,-0.385,-0.287
02-Jul-13,0.247,0.268,0.360,0.364
01-Jul-13,0.218,0.377,0.336,0.311
28-Jun-13,0.485,0.624,0.899,0.968
27-Jun-13,0.388,0.622,0.760,0.874
26-Jun-13,0.349,0.316,0.748,0.422
25-Jun-13,-0.298,-0.572,-0.340,-0.387
24-Jun-13,-0.764,-0.696,-1.063,-0.841
21-Jun-13,-0.442,-0.658,-0.566,-0.690
20-Jun-13,-0.559,-0.459,-0.915,-0.635
19-Jun-13,0.000,0.108,0.087,0.110
18-Jun-13,0.147,0.309,0.430,0.417
17-Jun-13,0.264,0.391,0.473,0.396
14-Jun-13,0.362,0.094,0.349,0.213
13-Jun-13,-0.291,-0.369,-0.786,-0.573
12-Jun-13,-0.198,-0.445,-0.318,-0.411
11-Jun-13,-0.517,-0.189,-0.384,-0.325
10-Jun-13,0.000,0.052,0.459,0.124
07-Jun-13,-0.357,-0.510,-0.682,-0.690
06-Jun-13,-0.359,-0.602,-0.844,-0.960
05-Jun-13,-0.380,-0.383,-0.667,-0.562
04-Jun-13,-0.092,-0.159,-0.167,-0.067
03-Jun-13,-0.371,-0.398,-0.508,-0.571
