"","Date","Mid.SKSPEC3","Mid.SKSPEC4","Mid.SKSPEC5","Mid.SKSPEC6","Mid.SKSPEC7","Mid.SKSPEC8"
"1285",2013-02-26,0.62708,0.62254,0.61953,0.60675,0.59473,0.57868
"1297",2013-02-27,0.62695,0.62246,0.61945,0.60674,0.59477,0.57858
"1309",2013-02-28,0.6289,0.62488,0.62233,0.61009,0.59845,0.58259
"1321",2013-03-01,0.63037,0.62643,0.624,0.61182,0.60023,0.58443
"1333",2013-03-04,0.6303,0.6262,0.62361,0.61127,0.59952,0.58356
"1345",2013-03-05,0.63039,0.62655,0.6242,0.61214,0.60057,0.58483
"1357",2013-03-06,0.63241,0.62929,0.62764,0.61627,0.60524,0.58999
"1369",2013-03-07,0.6338,0.63086,0.62938,0.61813,0.60723,0.59203
"1381",2013-03-08,0.63488,0.63215,0.63087,0.6198,0.60904,0.59395
"1393",2013-03-11,0.63616,0.63378,0.6329,0.62215,0.61168,0.59682
"1405",2013-03-12,0.63742,0.63504,0.63415,0.62338,0.61287,0.59797
"1417",2013-03-13,0.6363,0.6334,0.63201,0.62073,0.60982,0.59454
"1429",2013-03-14,0.6359,0.6332,0.63196,0.62092,0.61014,0.59503
"1441",2013-03-15,0.63535,0.63242,0.63089,0.61962,0.60861,0.5933
"1453",2013-03-18,0.63445,0.63089,0.6287,0.61685,0.60533,0.58955
"1465",2013-03-19,0.6343,0.63066,0.62838,0.61649,0.60487,0.58913
"1477",2013-03-20,0.63436,0.63054,0.62806,0.61599,0.60419,0.58833
"1489",2013-03-21,0.63402,0.63006,0.62743,0.61521,0.6033,0.58735
"1501",2013-03-22,0.63312,0.62891,0.62595,0.61352,0.60136,0.58523
"1513",2013-03-25,0.63382,0.62995,0.62731,0.61525,0.60336,0.58747
"1525",2013-03-26,0.6336,0.62935,0.62641,0.61393,0.60177,0.5856
"1537",2013-03-27,0.63429,0.62997,0.62696,0.61441,0.60223,0.58594
"1549",2013-03-28,0.63463,0.6306,0.62781,0.61557,0.60358,0.5875
"1561",2013-04-02,0.63424,0.63031,0.62758,0.61544,0.60348,0.58746
"1573",2013-04-03,0.6346,0.63085,0.62831,0.61638,0.60457,0.58873
"1585",2013-04-04,0.63463,0.63031,0.62743,0.61491,0.60275,0.58677
"1597",2013-04-05,0.63284,0.62717,0.62301,0.60933,0.59608,0.57914
"1609",2013-04-08,0.63262,0.62657,0.62203,0.60798,0.59441,0.57718
"1621",2013-04-09,0.6332,0.62734,0.62299,0.60911,0.5957,0.5786
"1633",2013-04-10,0.63468,0.62936,0.62554,0.61213,0.59913,0.58241
"1645",2013-04-11,0.63632,0.63173,0.62861,0.61584,0.60341,0.58717
"1657",2013-04-12,0.63717,0.63243,0.62918,0.61628,0.60371,0.58735
"1669",2013-04-15,0.63586,0.63052,0.62669,0.61328,0.60021,0.58343
"1681",2013-04-16,0.63449,0.62875,0.62456,0.61081,0.59743,0.58041
"1693",2013-04-17,0.6349,0.62928,0.62522,0.61158,0.5983,0.58138
"1705",2013-04-18,0.63427,0.6283,0.62391,0.60997,0.59641,0.57924
"1717",2013-04-19,0.63389,0.62778,0.62326,0.6092,0.59554,0.57827
"1729",2013-04-22,0.63564,0.63006,0.62605,0.61245,0.5992,0.58228
"1741",2013-04-23,0.63683,0.63119,0.62713,0.61349,0.60017,0.58314
"1753",2013-04-24,0.63762,0.63261,0.62914,0.61602,0.6032,0.58665
"1765",2013-04-25,0.63886,0.6341,0.63087,0.61796,0.60534,0.58896
"1777",2013-04-26,0.63891,0.63404,0.63069,0.61768,0.60495,0.58847
"1789",2013-04-29,0.63887,0.63385,0.63036,0.61722,0.60439,0.58779
"1801",2013-04-30,0.64073,0.63582,0.63243,0.61939,0.60662,0.59009
"1813",2013-05-01,0.64104,0.63633,0.63313,0.62027,0.60766,0.59126
"1825",2013-05-02,0.64096,0.63582,0.63221,0.61899,0.60603,0.5893
"1837",2013-05-03,0.64174,0.63672,0.63321,0.6201,0.60722,0.59059
"1849",2013-05-07,0.64315,0.63913,0.63659,0.62433,0.61228,0.59638
"1861",2013-05-08,0.64505,0.64136,0.63916,0.62719,0.61543,0.59971
"1873",2013-05-09,0.64607,0.64237,0.64018,0.62821,0.61643,0.60068
"1885",2013-05-10,0.64582,0.64284,0.64132,0.62996,0.6188,0.60353
"1897",2013-05-13,0.64514,0.64232,0.64094,0.6297,0.61868,0.60352
"1909",2013-05-14,0.64492,0.64239,0.64126,0.63026,0.61948,0.60452
"1921",2013-05-15,0.64621,0.6445,0.6442,0.63393,0.62384,0.60948
"1933",2013-05-16,0.64701,0.6455,0.64541,0.63534,0.62541,0.61117
"1945",2013-05-17,0.64774,0.64607,0.64583,0.63561,0.62553,0.61112
"1957",2013-05-20,0.64826,0.64717,0.6475,0.63779,0.6282,0.61424
"1969",2013-05-21,0.64925,0.64831,0.6488,0.63924,0.62977,0.61592
"1981",2013-05-22,0.64999,0.64933,0.65012,0.64083,0.63162,0.61798
